iter	Passed	Remaining
129	38998	260987
130	39339	260962
131	39679	260921
132	39966	260534
133	40291	260388
134	40596	260119
135	40871	259652
136	41146	259191
137	41448	258905
138	41724	258453
139	42017	258105
140	42293	257660
141	42605	257431
142	42936	257319
143	43210	256864
144	43517	256603
145	43786	256121
146	44062	255681
147	44351	255319
148	44666	255110
149	44974	254854
150	45282	254600
151	45583	254310
152	45885	254019
153	46154	253551
154	46471	253345
155	46734	252845
156	47023	252488
157	47288	252005
158	47562	251571
159	47818	251048
160	48205	251205
161	48561	251199
162	48856	250875
163	49137	250483
164	49401	250003
165	49691	249656
166	49965	249229
167	50224	248730
168	50511	248370
169	50757	247815
170	51019	247338
171	51291	246914
172	51571	246530
173	51854	246160
174	52139	245802
175	52449	245559
176	52767	245354
177	53098	245207
178	53408	244962
179	53724	244746
180	54136	244958
181	54459	244770
182	54763	244489
183	55076	244250
184	55366	243911
185	55651	243548
186	55935	243186
187	56214	242799
188	56511	242492
189	56808	242182
190	57075	241751
191	57339	241305
192	57590	240803
193	57869	240426
194	58156	240081
195	58478	239880
196	58752	239483
197	59014	239039
198	59293	238663
199	59570	238281
200	59833	237847
201	60079	237342
202	60360	236981
203	60617	236525
204	60897	236164
205	61184	235826
206	61459	235445
207	61714	234990
208	62004	234668
209	62255	234199
210	62552	233906
211	62836	233563
212	63092	233116
213	63359	232712
214	63653	232410
215	63944	232095
216	64231	231764
217	64533	231492
218	64830	231200
219	65166	231044
220	65470	230777
221	65732	230358
222	66028	230063
223	66302	229689
224	66594	229380
225	66881	229055
226	67149	228663
227	67443	228362
228	67722	228007
229	68016	227705
230	68283	227314
231	68558	226952
232	68853	226654
233	69145	226346
234	69427	226008
235	69742	225776
236	70051	225523
237	70316	225132
238	70607	224820
239	70855	224377
240	71123	223994
241	71392	223619
242	71638	223170
243	71911	222808
244	72184	222445
245	72452	222069
246	72768	221841
247	73044	221488
248	73361	221264
249	73628	220886
250	73907	220545
251	74193	220224
252	74438	219784
253	74695	219381
254	74943	218952
255	75195	218535
256	75443	218111
257	75696	217701
258	75988	217402
259	76314	217202
260	76622	216949
261	76921	216671
262	77181	216284
263	77450	215921
264	77714	215548
265	78002	215240
266	78284	214917
267	78589	214654
268	78870	214327
269	79145	213986
270	79404	213599
271	79690	213290
272	79978	212982
273	80286	212730
274	80578	212433
275	80834	212043
276	81120	211732
277	81373	211338
278	81645	210989
279	81903	210607
280	82169	210247
281	82458	209946
282	82743	209635
283	83033	209337
284	83321	209033
285	83623	208766
286	83908	208455
287	84190	208137
288	84468	207810
289	84748	207487
290	85021	207149
291	85274	206761
292	85566	206468
293	85836	206125
294	86141	205862
295	86388	205465
296	86683	205179
297	86970	204876
298	87234	204519
299	87509	204188
300	87810	203919
301	88084	203586
302	88353	203241
303	88626	202907
304	88923	202628
305	89218	202345
306	89490	202009
307	89790	201737
308	90057	201391
309	90336	201070
310	90622	200768
311	90919	200488
312	91175	200120
313	91437	199764
314	91703	199418
315	91995	199129
316	92304	198877
317	92605	198607
318	92885	198291
319	93179	198006
320	93440	197652
321	93736	197370
322	94037	197099
323	94312	196775
324	94584	196445
325	94870	196143
326	95150	195829
327	95427	195510
328	95692	195165
329	95936	194779
330	96208	194450
331	96491	194145
332	96758	193807
333	97036	193491
334	97305	193158
335	97567	192811
336	97849	192505
337	98121	192178
338	98397	191860
339	98708	191611
340	98969	191263
341	99233	190922
342	99542	190668
343	99814	190344
344	100094	190034
345	100353	189685
346	100632	189374
347	100896	189036
348	101164	188705
349	101453	188413
350	101703	188050
351	101977	187731
352	102229	187372
353	102491	187032
354	102774	186730
355	103070	186453
356	103357	186158
357	103613	185808
358	103871	185463
359	104125	185112
360	104386	184773
361	104675	184482
362	104985	184230
363	105253	183905
364	105570	183664
365	105831	183325
366	106124	183042
367	106400	182731
368	106648	182372
369	106955	182114
370	107216	181776
371	107471	181431
372	107747	181119
373	108006	180780
374	108290	180484
375	108571	180183
376	108852	179880
377	109147	179602
378	109399	179252
379	109708	178998
380	109975	178673
381	110246	178356
382	110513	178033
383	110767	177689
384	111021	177346
385	111305	177050
386	111557	176704
387	111830	176392
388	112104	176081
389	112379	175773
390	112661	175475
391	112927	175153
392	113193	174830
393	113458	174507
394	113733	174199
395	114015	173902
396	114263	173553
397	114539	173248
398	114816	172944
399	115091	172637
400	115365	172329
401	115617	171987
402	115881	171665
403	116128	171317
404	116388	170990
405	116673	170699
406	116944	170387
407	117218	170081
408	117492	169774
409	117754	169451
410	118005	169112
411	118263	168783
412	118554	168503
413	118829	168198
414	119109	167901
415	119382	167594
416	119638	167264
417	119884	166920
418	120150	166604
419	120400	166267
420	120677	165966
421	120972	165692
422	121260	165406
423	121566	165146
424	121864	164874
425	122163	164605
426	122419	164276
427	122728	164020
428	123002	163716
429	123284	163424
430	123578	163146
431	123865	162859
432	124131	162545
433	124402	162239
434	124675	161934
435	124953	161637
436	125230	161338
437	125479	161003
438	125773	160726
439	126039	160414
440	126283	160073
441	126554	159768
442	126825	159461
443	127110	159174
444	127397	158889
445	127688	158608
446	128021	158380
447	128268	158044
448	128528	157726
449	128797	157419
450	129093	157144
451	129388	156868
452	129671	156578
453	129962	156298
454	130303	156077
455	130587	155788
456	130860	155486
457	131203	155267
458	131496	154988
459	131788	154708
460	132136	154494
461	132452	154241
462	132785	154007
463	133115	153770
464	133453	153542
465	133802	153326
466	134126	153082
467	134426	152809
468	134705	152513
469	134998	152231
470	135274	151932
471	135548	151630
472	135841	151349
473	136094	151024
474	136388	150744
475	136679	150461
476	136987	150198
477	137283	149920
478	137619	149686
479	137888	149379
480	138170	149086
481	138532	148879
482	138827	148600
483	139138	148337
484	139386	148008
485	139667	147714
486	139913	147383
487	140185	147079
488	140446	146765
489	140746	146491
490	141054	146225
491	141352	145949
492	141633	145655
493	141943	145391
494	142215	145088
495	142485	144783
496	142780	144503
497	143054	144203
498	143351	143925
499	143634	143634
500	143903	143329
501	144185	143036
502	144456	142733
503	144756	142458
504	145038	142166
505	145329	141883
506	145609	141588
507	145903	141307
508	146180	141010
509	146454	140711
510	146730	140413
511	146996	140106
512	147270	139806
513	147555	139517
514	147851	139238
515	148135	138949
516	148404	138644
517	148689	138356
518	149006	138096
519	149297	137813
520	149577	137519
521	149859	137227
522	150139	136934
523	150396	136619
524	150689	136338
525	150945	136023
526	151229	135733
527	151570	135495
528	151880	135227
529	152193	134963
530	152494	134689
531	152784	134404
532	153055	134103
533	153323	133799
534	153605	133507
535	153890	133218
536	154155	132912
537	154430	132615
538	154727	132336
539	155002	132039
540	155276	131741
541	155576	131465
542	155854	131170
543	156113	130859
544	156404	130576
545	156667	130269
546	156950	129979
547	157211	129670
548	157480	129369
549	157778	129091
550	158035	128780
551	158361	128524
552	158628	128222
553	158884	127910
554	159157	127612
555	159426	127312
556	159715	127026
557	159960	126707
558	160257	126428
559	160546	126144
560	160821	125848
561	161128	125576
562	161431	125303
563	161743	125035
564	162071	124780
565	162370	124503
566	162690	124241
567	162984	123959
568	163311	123703
569	163615	123429
570	163908	123147
571	164206	122867
572	164493	122580
573	164772	122287
574	165072	122010
575	165376	121735
576	165679	121460
577	165933	121149
578	166230	120869
579	166516	120580
580	166818	120304
581	167091	120007
582	167370	119714
583	167664	119432
584	167939	119136
585	168244	118862
586	168535	118577
587	168841	118303
588	169131	118019
589	169431	117740
590	169719	117453
591	169971	117142
592	170254	116852
593	170561	116578
594	170891	116321
595	171218	116060
596	171506	115774
597	171861	115532
598	172180	115265
599	172454	114969
600	172747	114685
601	173037	114400
602	173320	114109
603	173615	113827
604	173897	113536
605	174202	113260
606	174485	112969
607	174765	112678
608	175068	112400
609	175373	112124
610	175662	111837
611	175922	111532
612	176203	111241
613	176464	110937
614	176728	110635
615	176997	110336
616	177296	110055
617	177551	109748
618	177847	109466
619	178127	109174
620	178427	108895
621	178692	108594
622	178948	108288
623	179240	108004
624	179535	107721
625	179815	107429
626	180082	107130
627	180428	106878
628	180735	106602
629	181037	106323
630	181293	106017
631	181573	105726
632	181856	105436
633	182136	105145
634	182383	104834
635	182673	104549
636	182960	104261
637	183244	103972
638	183514	103675
639	183826	103402
640	184099	103107
641	184388	102820
642	184660	102525
643	184964	102247
644	185266	101968
645	185543	101675
646	185808	101376
647	186099	101090
648	186392	100807
649	186708	100535
650	186980	100239
651	187244	99940
652	187509	99641
653	187802	99357
654	188054	99051
655	188340	98763
656	188642	98484
657	188899	98181
658	189162	97882
659	189440	97590
660	189725	97302
661	190016	97017
662	190276	96716
663	190556	96425
664	190818	96126
665	191083	95828
666	191333	95523
667	191615	95234
668	191889	94940
669	192195	94663
670	192547	94408
671	192823	94116
672	193112	93830
673	193401	93544
674	193696	93261
675	193995	92980
676	194278	92691
677	194572	92407
678	194855	92118
679	195133	91827
680	195390	91526
681	195664	91233
682	195968	90954
683	196254	90667
684	196574	90395
685	196882	90118
686	197167	89830
687	197440	89537
688	197696	89235
689	197996	88955
690	198265	88659
691	198568	88380
692	198844	88088
693	199159	87814
694	199468	87536
695	199730	87238
696	200003	86945
697	200286	86656
698	200579	86372
699	200860	86083
700	201147	85796
701	201416	85501
702	201715	85219
703	201997	84930
704	202264	84635
705	202558	84351
706	202830	84058
707	203103	83765
708	203357	83465
709	203670	83189
710	203946	82898
711	204219	82605
712	204501	82316
713	204799	82034
714	205120	81761
715	205398	81471
716	205667	81176
717	205937	80883
718	206221	80595
719	206528	80316
720	206827	80034
721	207115	79748
722	207385	79454
723	207689	79174
724	207977	78888
725	208281	78607
726	208580	78325
727	208873	78040
728	209162	77754
729	209426	77459
730	209726	77177
731	209994	76883
732	210294	76601
733	210597	76320
734	210856	76022
735	211138	75734
736	211409	75441
737	211690	75153
738	211963	74861
739	212243	74572
740	212535	74286
741	212873	74017
742	213147	73726
743	213419	73434
744	213682	73139
745	213949	72845
746	214226	72555
747	214526	72273
748	214830	71992
749	215130	71710
750	215399	71417
751	215681	71129
752	215970	70842
753	216337	70582
754	216621	70294
755	216959	70023
756	217234	69732
757	217506	69441
758	217783	69151
759	218057	68860
760	218493	68620
761	218792	68336
762	219088	68052
763	219358	67760
764	219633	67468
765	219926	67183
766	220199	66892
767	220492	66607
768	220779	66319
769	221091	66040
770	221384	65754
771	221660	65464
772	221921	65169
773	222182	64875
774	222437	64578
775	222721	64290
776	223022	64007
777	223327	63725
778	223583	63429
779	223908	63153
780	224206	62869
781	224512	62587
782	224805	62302
783	225078	62011
784	225335	61715
785	225603	61423
786	225893	61137
787	226179	60850
788	226443	60557
789	226728	60269
790	226996	59977
791	227267	59686
792	227545	59397
793	227877	59121
794	228161	58833
795	228412	58537
796	228730	58258
797	229035	57976
798	229338	57693
799	229638	57409
800	229960	57131
801	230268	56849
802	230559	56563
803	230835	56273
804	231137	55989
805	231458	55710
806	231770	55429
807	232033	55136
808	232325	54850
809	232631	54567
810	232893	54274
811	233203	53992
812	233502	53708
813	233808	53425
814	234129	53145
815	234431	52861
816	234688	52567
817	234947	52274
818	235212	51982
819	235565	51709
820	235903	51433
821	236174	51142
822	236489	50861
823	236801	50578
824	237154	50305
825	237452	50020
826	237710	49726
827	238005	49440
828	238295	49153
829	238588	48867
830	238878	48580
831	239154	48290
832	239435	48002
833	239717	47713
834	239994	47424
835	240304	47141
836	240612	46857
837	240913	46572
838	241189	46283
839	241456	45991
840	241712	45698
841	241994	45409
842	242277	45121
843	242558	44833
844	242834	44543
845	243167	44264
846	243484	43982
847	243779	43696
848	244057	43407
849	244345	43119
850	244646	42834
851	244961	42552
852	245269	42268
853	245551	41979
854	245846	41693
855	246149	41408
856	246425	41118
857	246703	40829
858	246964	40537
859	247244	40249
860	247558	39965
861	247865	39681
862	248133	39390
863	248407	39101
864	248681	38811
865	248963	38523
866	249240	38234
867	249532	37947
868	249834	37662
869	250133	37376
870	250474	37096
871	250788	36812
872	251068	36524
873	251372	36239
874	251671	35953
875	251981	35668
876	252361	35393
877	252698	35112
878	253025	34830
879	253329	34544
880	253607	34255
881	253892	33967
882	254156	33676
883	254438	33387
884	254702	33096
885	254990	32809
886	255267	32519
887	255536	32229
888	255822	31941
889	256118	31655
890	256391	31365
891	256693	31079
892	256974	30790
893	257280	30505
894	257567	30217
895	257862	29930
896	258129	29640
897	258403	29350
898	258677	29061
899	258947	28771
900	259229	28483
901	259501	28194
902	259795	27907
903	260075	27618
904	260342	27328
905	260614	27039
906	260889	26750
907	261180	26463
908	261493	26178
909	261797	25892
910	262074	25603
911	262373	25316
912	262630	25026
913	262911	24737
914	263206	24450
915	263480	24161
916	263768	23874
917	264051	23586
918	264302	23295
919	264570	23006
920	264855	22718
921	265131	22429
922	265406	22141
923	265710	21855
924	266007	21568
925	266274	21278
926	266546	20990
927	266827	20702
928	267104	20413
929	267400	20126
930	267679	19838
931	267955	19550
932	268244	19262
933	268506	18973
934	268802	18686
935	269074	18398
936	269330	18108
937	269606	17820
938	269895	17533
939	270176	17245
940	270446	16956
941	270720	16668
942	271018	16381
943	271317	16095
944	271577	15806
945	271869	15518
946	272132	15230
947	272417	14942
948	272677	14653
949	272963	14366
950	273235	14078
951	273522	13791
952	273792	13502
953	274092	13216
954	274362	12928
955	274669	12641
956	274942	12353
957	275251	12067
958	275511	11778
959	275802	11491
960	276067	11203
961	276392	10917
962	276671	10630
963	276951	10342
964	277232	10055
965	277534	9768
966	277829	9481
967	278098	9193
968	278368	8905
969	278639	8617
970	278935	8330
971	279220	8043
972	279481	7755
973	279777	7468
974	280051	7180
975	280319	6893
976	280580	6605
977	280903	6318
978	281178	6031
979	281486	5744
980	281778	5457
981	282059	5170
982	282354	4883
983	282662	4596
984	282943	4308
985	283240	4021
986	283500	3734
987	283783	3446
988	284088	3159
989	284373	2872
990	284661	2585
991	284920	2297
992	285190	2010
993	285496	1723
994	285792	1436
995	286060	1148
996	286324	861
997	286612	574
998	286921	287
999	287194	0
